ECG;EMG;EDA;CATEGORY
-0.0146484375;430.0;157.0;post_test_sensors_2
-0.0498046875;524.0;159.0;post_test_sensors_2
-0.0205078125;499.0;161.0;post_test_sensors_2
-0.0087890625;484.0;162.0;post_test_sensors_2
0.0;464.0;157.0;post_test_sensors_2
0.0;494.0;159.0;post_test_sensors_2
-0.8847656249999999;473.0;161.0;post_test_sensors_2
-0.029296875;489.0;162.0;post_test_sensors_2
-0.029296875;483.0;161.0;post_test_sensors_2
-0.0029296875;509.0;162.0;post_test_sensors_2
-0.05859375;497.0;157.0;post_test_sensors_2
-0.0615234375;526.0;158.0;post_test_sensors_2
0.0029296875;500.0;162.0;post_test_sensors_2
-0.005859374999999999;512.0;161.0;post_test_sensors_2
-0.017578125;545.0;157.0;post_test_sensors_2
-0.0380859375;515.0;162.0;post_test_sensors_2
0.0966796875;504.0;162.0;post_test_sensors_2
-0.0498046875;504.0;159.0;post_test_sensors_2
-0.0205078125;499.0;162.0;post_test_sensors_2
0.31347656249999994;524.0;161.0;post_test_sensors_2
-0.46875;514.0;162.0;post_test_sensors_2
0.0146484375;517.0;157.0;post_test_sensors_2
-0.0146484375;514.0;162.0;post_test_sensors_2
-0.0087890625;510.0;157.0;post_test_sensors_2
-0.03515625;515.0;161.0;post_test_sensors_2
0.3720703125;498.0;161.0;post_test_sensors_2
-0.04101562499999999;495.0;161.0;post_test_sensors_2
-0.0029296875;494.0;160.0;post_test_sensors_2
0.0205078125;477.0;160.0;post_test_sensors_2
-0.017578125;526.0;158.0;post_test_sensors_2
0.0029296875;509.0;160.0;post_test_sensors_2
-0.06445312499999999;492.0;161.0;post_test_sensors_2
0.1962890625;578.0;158.0;post_test_sensors_2
-0.0234375;524.0;162.0;post_test_sensors_2
-0.0234375;487.0;160.0;post_test_sensors_2
-0.0263671875;495.0;161.0;post_test_sensors_2
0.0;537.0;159.0;post_test_sensors_2
-0.07910156249999999;498.0;160.0;post_test_sensors_2
-0.0205078125;510.0;161.0;post_test_sensors_2
-0.029296875;505.0;161.0;post_test_sensors_2
-0.0146484375;505.0;162.0;post_test_sensors_2
0.0263671875;511.0;157.0;post_test_sensors_2
